,Holder,Shares,Date Reported,% Out,Value,Ticker,%Shares
4,"FMR, LLC",2793476,2021-06-29,0.032,969503780,ANSS,7.0
5,Massachusetts Financial Services Co.,2705644,2021-06-29,0.031,939020806,ANSS,7.0
6,BAMCO Inc.,2138061,2021-06-29,0.0245,742035450,ANSS,5.0
7,"Principal Financial Group, Inc.",1589977,2021-06-29,0.0182,551817417,ANSS,4.0
8,"Geode Capital Management, LLC",1548271,2021-06-29,0.0177,537342933,ANSS,4.0
9,Ownership Capital B.V.,1414795,2021-06-29,0.016200000000000003,491018752,ANSS,3.0
0,"Vanguard Group, Inc. (The)",1264936543,2021-06-29,0.0765,173245708929,AAPL,24.0
1,Blackrock Inc.,1028698316,2021-06-29,0.0622,140890521359,AAPL,20.0
2,"Berkshire Hathaway, Inc",887135554,2021-06-29,0.0537,121502085475,AAPL,17.0
3,State Street Corporation,622579947,2021-06-29,0.0377,85268549541,AAPL,12.0
4,"FMR, LLC",350462986,2021-06-29,0.0212,47999410562,AAPL,6.0
5,"Geode Capital Management, LLC",254162496,2021-06-29,0.0154,34810095452,AAPL,4.0
6,Northern Trust Corporation,193253001,2021-06-29,0.011699999999999999,26467931016,AAPL,3.0
7,Price (T.Rowe) Associates Inc,192697039,2021-06-29,0.011699999999999999,26391786461,AAPL,3.0
8,Norges Bank Investment Management,167580974,2020-12-30,0.0101,22236319440,AAPL,3.0
9,Bank Of New York Mellon Corporation,153929495,2021-06-29,0.009300000000000001,21082183635,AAPL,3.0
0,"Vanguard Group, Inc. (The)",73525390,2021-06-29,0.0814,10470015536,AMAT,22.0
1,Blackrock Inc.,73481107,2021-06-29,0.0814,10463709636,AMAT,22.0
2,State Street Corporation,40213269,2021-06-29,0.044500000000000005,5726369505,AMAT,12.0
3,Price (T.Rowe) Associates Inc,28102544,2021-06-29,0.0311,4001802265,AMAT,8.0
4,Capital World Investors,25351472,2021-06-29,0.0281,3610049612,AMAT,7.0
5,"FMR, LLC",21693309,2021-06-29,0.024,3089127201,AMAT,6.0
6,Capital International Investors,18742933,2021-06-29,0.0208,2668993659,AMAT,5.0
7,Invesco Ltd.,15658207,2021-06-29,0.0173,2229728676,AMAT,4.0
8,"Geode Capital Management, LLC",14995325,2021-06-29,0.0166,2135334280,AMAT,4.0
9,Bank Of New York Mellon Corporation,14325733,2021-06-29,0.0159,2039984379,AMAT,4.0
0,Price (T.Rowe) Associates Inc,12022686,2021-06-29,0.0291,8305752396,ASML,26.0
1,Capital World Investors,7245760,2021-06-29,0.0175,5005660838,ASML,15.0
2,Capital International Investors,5090260,2021-06-29,0.0123,3516555218,ASML,11.0
3,"Fisher Asset Management, LLC",4053363,2021-06-29,0.0098,2800225294,ASML,8.0
4,"FMR, LLC",3636257,2021-06-29,0.0088,2512071785,ASML,7.0
5,"WCM Investment Management, LLC",3607896,2021-06-29,0.0087,2492478872,ASML,7.0
6,State Farm Mutual Automobile Insurance Co,3245079,2021-06-29,0.0079,2241830376,ASML,7.0
7,JP Morgan Chase & Company,2605518,2021-06-29,0.0063,1799996055,ASML,5.0
8,"Sands Capital Management, LLC",2390899,2021-06-29,0.0058,1651728665,ASML,5.0
9,Blackrock Inc.,1879504,2021-06-29,0.0045000000000000005,1298436543,ASML,4.0
0,Price (T.Rowe) Associates Inc,15713335,2021-06-29,0.1144,4036127228,TEAM,24.0
1,Capital Research Global Investors,7494322,2021-06-29,0.0546,1924991548,TEAM,11.0
2,Jennison Associates LLC,6894373,2021-06-29,0.050199999999999995,1770888648,TEAM,10.0
3,Baillie Gifford and Company,5944860,2021-06-29,0.0433,1526996739,TEAM,9.0
4,"Sands Capital Management, LLC",5661536,2021-06-29,0.0412,1454222136,TEAM,8.0
5,"FMR, LLC",5446015,2021-06-29,0.0397,1398863412,TEAM,8.0
6,Artisan Partners Limited Partnership,5233001,2021-06-29,0.0381,1344148636,TEAM,8.0
7,Blackrock Inc.,4012513,2021-06-29,0.0292,1030654089,TEAM,6.0
8,"ClearBridge Investments, LLC",3708807,2021-06-29,0.027000000000000003,952644166,TEAM,5.0
9,"Renaissance Technologies, LLC",3293360,2021-06-29,0.024,845932449,TEAM,5.0
0,"Vanguard Group, Inc. (The)",37963373,2021-06-29,0.0898,7540285145,ADP,24.0
1,Blackrock Inc.,30402809,2021-06-29,0.0719,6038605923,ADP,19.0
2,State Street Corporation,18121048,2021-06-29,0.0429,3599202553,ADP,11.0
3,Morgan Stanley,13906949,2021-06-29,0.0329,2762198210,ADP,8.0
4,Bank Of New York Mellon Corporation,12495538,2021-06-29,0.0296,2481863757,ADP,7.0
5,"AllianceBernstein, L.P.",10398132,2021-06-29,0.0246,2065276977,ADP,6.0
6,"Wellington Management Group, LLP",9918005,2021-06-29,0.0235,1969914153,ADP,6.0
7,Bank of America Corporation,8803088,2021-06-29,0.0208,1748469338,ADP,5.0
8,"Geode Capital Management, LLC",7925355,2021-06-29,0.0187,1574134010,ADP,5.0
9,Wells Fargo & Company,7778394,2021-06-29,0.0184,1544944616,ADP,4.0
0,Capital World Investors,39369326,2021-06-29,0.0956,18772869409,AVGO,19.0
1,"Vanguard Group, Inc. (The)",35753432,2021-06-29,0.08689999999999999,17048666514,AVGO,17.0
2,Capital International Investors,33942430,2021-06-29,0.0825,16185108321,AVGO,16.0
3,Blackrock Inc.,27045695,2021-06-29,0.06570000000000001,12896469203,AVGO,13.0
4,Capital Research Global Investors,26939294,2021-06-29,0.0654,12845732950,AVGO,13.0
5,State Street Corporation,15873523,2021-06-29,0.038599999999999995,7569130707,AVGO,7.0
6,Bank of America Corporation,8181822,2021-06-29,0.0199,3901420002,AVGO,3.0
7,"Ameriprise Financial, Inc.",6522304,2021-06-29,0.0158,3110095439,AVGO,3.0
8,"Geode Capital Management, LLC",6447493,2021-06-29,0.015700000000000002,3074422562,AVGO,3.0
9,Northern Trust Corporation,4704321,2021-06-29,0.011399999999999999,2243208425,AVGO,2.0
0,Blackrock Inc.,13442464,2021-06-29,0.047400000000000005,2740918409,BIDU,22.0
1,"Vanguard Group, Inc. (The)",9781178,2021-06-29,0.0345,1994382194,BIDU,16.0
2,Primecap Management Company,9495285,2021-06-29,0.0335,1936088611,BIDU,16.0
3,State Street Corporation,5468727,2021-06-29,0.019299999999999998,1115073435,BIDU,9.0
4,Dodge & Cox Inc,4697851,2021-06-29,0.0166,957891818,BIDU,7.0
5,Baillie Gifford and Company,3862845,2021-06-29,0.013600000000000001,787634095,BIDU,6.0
6,Price (T.Rowe) Associates Inc,3664710,2021-06-29,0.0129,747234369,BIDU,6.0
7,Norges Bank Investment Management,3513043,2020-12-30,0.0124,759660418,BIDU,5.0
8,Bank of Montreal/Can/,2816618,2021-06-29,0.009899999999999999,574308410,BIDU,4.0
9,"Goldman Sachs Group, Inc.",2557275,2021-06-29,0.009000000000000001,521428372,BIDU,4.0
0,Primecap Management Company,16458506,2021-06-29,0.1104,5699086872,BIIB,23.0
1,Blackrock Inc.,13206591,2021-06-29,0.0886,4573046265,BIIB,19.0
2,"Vanguard Group, Inc. (The)",11753333,2021-06-29,0.0789,4069826617,BIIB,16.0
3,State Street Corporation,6680040,2021-06-29,0.044800000000000006,2313097450,BIIB,9.0
4,"Wellington Management Group, LLP",5601861,2021-06-29,0.037599999999999995,1939756408,BIIB,8.0
5,JP Morgan Chase & Company,5354766,2021-06-29,0.0359,1854194822,BIIB,7.0
6,"ClearBridge Investments, LLC",3565112,2021-06-29,0.0239,1234491332,BIIB,5.0
7,"Geode Capital Management, LLC",2893750,2021-06-29,0.0194,1002018812,BIIB,4.0
8,Northern Trust Corporation,2067539,2021-06-29,0.0139,715926729,BIIB,2.0
9,Norges Bank Investment Management,1903653,2020-12-30,0.0128,466128473,BIIB,2.0
0,Capital Research Global Investors,22086389,2021-06-29,0.12050000000000001,1842888298,BMRN,19.0
1,Primecap Management Company,17953066,2021-06-29,0.09789999999999999,1498003827,BMRN,16.0
2,"Vanguard Group, Inc. (The)",16222594,2021-06-29,0.0885,1353613243,BMRN,14.0
3,Dodge & Cox Inc,14102097,2021-06-29,0.07690000000000001,1176678973,BMRN,12.0
4,Blackrock Inc.,12895568,2021-06-29,0.0703,1076006193,BMRN,11.0
5,"Baker Brothers Advisors, LLC",7589294,2021-06-29,0.0414,633250691,BMRN,6.0
6,"Ameriprise Financial, Inc.",6550249,2021-06-29,0.035699999999999996,546552776,BMRN,5.0
7,"ClearBridge Investments, LLC",5071303,2021-06-29,0.0277,423149522,BMRN,4.0
8,State Street Corporation,4907057,2021-06-29,0.0268,409444836,BMRN,4.0
9,Janus Henderson Group PLC,3954190,2021-06-29,0.0216,329937613,BMRN,3.0
0,"Vanguard Group, Inc. (The)",3117233,2021-06-29,0.0759,6820786354,BKNG,20.0
1,Blackrock Inc.,2619860,2021-06-29,0.0638,5732489467,BKNG,17.0
2,Price (T.Rowe) Associates Inc,1798527,2021-06-29,0.0438,3935338943,BKNG,12.0
3,State Street Corporation,1609044,2021-06-29,0.0392,3520733085,BKNG,10.0
4,Capital World Investors,1362637,2021-06-29,0.0332,2981572393,BKNG,9.0
5,JP Morgan Chase & Company,1169496,2021-06-29,0.0285,2558962502,BKNG,7.0
6,Dodge & Cox Inc,897297,2021-06-29,0.0219,1963366592,BKNG,6.0
7,Bank Of New York Mellon Corporation,856216,2021-06-29,0.0209,1873477667,BKNG,5.0
8,"FMR, LLC",753423,2021-06-29,0.0183,1648557332,BKNG,5.0
9,Invesco Ltd.,674702,2021-06-29,0.016399999999999998,1476308699,BKNG,4.0
0,"Vanguard Group, Inc. (The)",31519845,2021-06-29,0.1139,4312545192,CDNS,24.0
1,Blackrock Inc.,31137115,2021-06-29,0.1125,4260180074,CDNS,24.0
2,Massachusetts Financial Services Co.,21255638,2021-06-29,0.0768,2908196391,CDNS,16.0
3,State Street Corporation,11638264,2021-06-29,0.042,1592347280,CDNS,9.0
4,"FMR, LLC",9797196,2021-06-29,0.0354,1340452356,CDNS,7.0
5,Alkeon Capital Management LLC,5246983,2021-06-29,0.019,717892214,CDNS,4.0
6,"Geode Capital Management, LLC",5099173,2021-06-29,0.0184,697668849,CDNS,3.0
7,Parnassus Investments /ca,4948630,2021-06-29,0.0179,677071556,CDNS,3.0
8,Janus Henderson Group PLC,4142194,2021-06-29,0.015,566734983,CDNS,3.0
9,Pictet Asset Management Ltd,4039499,2021-06-29,0.0146,552684253,CDNS,3.0
0,"Vanguard Group, Inc. (The)",15887634,2021-06-29,0.11560000000000001,2774775278,CDW,25.0
1,Blackrock Inc.,9946476,2021-06-29,0.0723,1737152033,CDW,15.0
2,"Select Equity Group, Inc.",7535758,2021-06-29,0.0548,1316120134,CDW,12.0
3,"Wellington Management Group, LLP",6202559,2021-06-29,0.0451,1083276929,CDW,9.0
4,State Street Corporation,5370874,2021-06-29,0.0391,938023144,CDW,8.0
5,"AllianceBernstein, L.P.",4790634,2021-06-29,0.0348,836684228,CDW,7.0
6,Amundi,3635472,2021-06-29,0.0264,634935184,CDW,5.0
7,Mawer Investment Management Limited,3525613,2021-06-29,0.0256,615748310,CDW,5.0
8,"Neuberger Berman Group, LLC",2946983,2021-06-29,0.021400000000000002,514690580,CDW,4.0
9,"Geode Capital Management, LLC",2450574,2021-06-29,0.0178,427992749,CDW,3.0
0,"Vanguard Group, Inc. (The)",31866816,2021-06-29,0.10779999999999999,2490710338,CERN,25.0
1,Blackrock Inc.,23951730,2021-06-29,0.081,1872067216,CERN,19.0
2,State Street Corporation,13827894,2021-06-29,0.046799999999999994,1080788195,CERN,11.0
3,"Wellington Management Group, LLP",10113600,2021-06-29,0.0342,790478976,CERN,8.0
4,Macquarie Group Limited,9714923,2021-06-29,0.0329,759318381,CERN,7.0
5,"Loomis Sayles & Company, LP",9484160,2021-06-29,0.0321,741281945,CERN,7.0
6,"American Century Companies, Inc.",7870877,2021-06-29,0.026600000000000002,615187746,CERN,6.0
7,"Geode Capital Management, LLC",6039762,2021-06-29,0.0204,472067797,CERN,4.0
8,Bank of America Corporation,5084463,2021-06-29,0.0172,397401628,CERN,4.0
9,Morgan Stanley,4624178,2021-06-29,0.015600000000000001,361425752,CERN,3.0
0,Massachusetts Financial Services Co.,7624459,2021-06-29,0.0556,885428423,CHKP,20.0
1,Blackrock Inc.,6827657,2021-06-29,0.049800000000000004,792895807,CHKP,18.0
2,Harding Loevner LLC,4987748,2021-06-29,0.0364,579227175,CHKP,13.0
3,"Franklin Resources, Inc.",3755874,2021-06-29,0.0274,436169647,CHKP,10.0
4,Ninety One UK Ltd,3196431,2021-06-29,0.0233,371201532,CHKP,8.0
5,State Street Corporation,2572564,2021-06-29,0.018799999999999997,298751857,CHKP,6.0
6,Altshuler Shaham Ltd,2174676,2021-06-29,0.0159,252545123,CHKP,5.0
7,Legal & General Group PLC,2153698,2021-06-29,0.015700000000000002,250108948,CHKP,5.0
8,DnB Asset Management AS,2103774,2021-06-29,0.015300000000000001,244311274,CHKP,5.0
9,FIL LTD,2058701,2021-06-29,0.015,239076947,CHKP,5.0
0,TCI Fund Management Ltd,10385430,2021-06-29,0.0565,7492568473,CHTR,16.0
1,Capital International Investors,10273843,2021-06-29,0.0559,7412064032,CHTR,15.0
2,"Vanguard Group, Inc. (The)",9830690,2021-06-29,0.0535,7092351300,CHTR,15.0
3,Blackrock Inc.,8842949,2021-06-29,0.0481,6379745556,CHTR,13.0
4,State Street Corporation,6135929,2021-06-29,0.0334,4426765977,CHTR,9.0
5,Dodge & Cox Inc,5708161,2021-06-29,0.0311,4118152753,CHTR,8.0
6,"Berkshire Hathaway, Inc",5213461,2021-06-29,0.028399999999999998,3761251438,CHTR,8.0
7,Harris Associates L.P.,3152631,2021-06-29,0.0172,2274465634,CHTR,4.0
8,Massachusetts Financial Services Co.,2449342,2021-06-29,0.013300000000000001,1767077785,CHTR,3.0
9,Veritas Asset Management LLP,2415306,2021-06-29,0.0131,1742522513,CHTR,3.0
0,"Vanguard Group, Inc. (The)",22258395,2021-06-29,0.09390000000000001,2934324212,CPRT,23.0
1,Blackrock Inc.,19981622,2021-06-29,0.0843,2634177228,CPRT,21.0
2,"Wellington Management Group, LLP",9313883,2021-06-29,0.0393,1227849195,CPRT,10.0
3,State Street Corporation,8615281,2021-06-29,0.0363,1135752494,CPRT,9.0
4,"Principal Financial Group, Inc.",7390692,2021-06-29,0.031200000000000002,974314926,CPRT,7.0
5,"AllianceBernstein, L.P.",6445811,2021-06-29,0.027200000000000002,849751264,CPRT,6.0
6,Price (T.Rowe) Associates Inc,6041484,2021-06-29,0.0255,796448835,CPRT,6.0
7,Capital World Investors,5125914,2021-06-29,0.0216,675749242,CPRT,5.0
8,JP Morgan Chase & Company,3903578,2021-06-29,0.0165,514608687,CPRT,4.0
9,"Geode Capital Management, LLC",3731448,2021-06-29,0.015700000000000002,491916789,CPRT,4.0
0,Blackrock Inc.,12627761,2021-06-29,0.0613,3173482616,CRWD,19.0
1,"Vanguard Group, Inc. (The)",12198433,2021-06-29,0.0593,3065588197,CRWD,18.0
2,Jennison Associates LLC,8903544,2021-06-29,0.0433,2237549642,CRWD,13.0
3,"Tiger Global Management, LLC",7537000,2021-06-29,0.0366,1894123470,CRWD,11.0
4,Price (T.Rowe) Associates Inc,5633381,2021-06-29,0.0274,1415724979,CRWD,8.0
5,Morgan Stanley,4563798,2021-06-29,0.0222,1146928075,CRWD,6.0
6,Allianz Asset Management GmbH,4180821,2021-06-29,0.0203,1050682125,CRWD,6.0
7,State Street Corporation,3744332,2021-06-29,0.0182,940988074,CRWD,5.0
8,Capital Research Global Investors,3411139,2021-06-29,0.0166,857253342,CRWD,5.0
9,Matrix Capital Management,3000000,2021-06-29,0.0146,753930000,CRWD,4.0
0,"Vanguard Group, Inc. (The)",9991579,2021-06-29,0.0966,3816783178,CTAS,30.0
1,Blackrock Inc.,5909301,2021-06-29,0.0571,2257352982,CTAS,18.0
2,State Street Corporation,4024647,2021-06-29,0.038900000000000004,1537415154,CTAS,12.0
3,Price (T.Rowe) Associates Inc,3629770,2021-06-29,0.0351,1386572140,CTAS,11.0
4,"FMR, LLC",1772524,2021-06-29,0.0171,677104168,CTAS,5.0
5,Brown Advisory Inc.,1722606,2021-06-29,0.0167,658035492,CTAS,5.0
6,"Geode Capital Management, LLC",1607633,2021-06-29,0.0155,614115806,CTAS,4.0
7,"Franklin Resources, Inc.",1442999,2021-06-29,0.013999999999999999,551225618,CTAS,4.0
8,Manufacturers Life Insurance Co.,1285801,2021-06-29,0.0124,491175982,CTAS,3.0
9,Bank of America Corporation,1150459,2021-06-29,0.0111,439475338,CTAS,3.0
0,Blackrock Inc.,340829610,2021-06-29,0.0808,18063969330,CSCO,25.0
1,"Vanguard Group, Inc. (The)",334670666,2021-06-29,0.0793,17737545298,CSCO,25.0
2,State Street Corporation,179954574,2021-06-29,0.042699999999999995,9537592422,CSCO,13.0
3,Bank of America Corporation,88722053,2021-06-29,0.021,4702268809,CSCO,6.0
4,"Wellington Management Group, LLP",88042390,2021-06-29,0.0209,4666246670,CSCO,6.0
5,Bank Of New York Mellon Corporation,73363866,2021-06-29,0.0174,3888284898,CSCO,5.0
6,"Geode Capital Management, LLC",69935509,2021-06-29,0.0166,3706581977,CSCO,5.0
7,"Ameriprise Financial, Inc.",55164411,2021-06-29,0.0131,2923713783,CSCO,4.0
8,Northern Trust Corporation,52709112,2021-06-29,0.0125,2793582936,CSCO,3.0
9,Wells Fargo & Company,50638489,2021-06-29,0.012,2683839917,CSCO,3.0
0,"Vanguard Group, Inc. (The)",391480518,2021-06-29,0.0855,22322219136,CMCSA,22.0
1,Blackrock Inc.,317588834,2021-06-29,0.0693,18108915314,CMCSA,17.0
2,Capital International Investors,226174387,2021-06-29,0.049400000000000006,12896463546,CMCSA,12.0
3,State Street Corporation,170761419,2021-06-29,0.0373,9736816111,CMCSA,9.0
4,Capital Research Global Investors,135689386,2021-06-29,0.0296,7737008789,CMCSA,7.0
5,Capital World Investors,117935963,2021-06-29,0.025699999999999997,6724708610,CMCSA,6.0
6,Massachusetts Financial Services Co.,115730837,2021-06-29,0.0253,6598972325,CMCSA,6.0
7,"FMR, LLC",112683895,2021-06-29,0.0246,6425235692,CMCSA,6.0
8,"Wellington Management Group, LLP",97881104,2021-06-29,0.021400000000000002,5581180550,CMCSA,5.0
9,Dodge & Cox Inc,83984497,2021-06-29,0.0183,4788796018,CMCSA,4.0
0,"Vanguard Group, Inc. (The)",37004912,2021-06-29,0.08380000000000001,14641733531,COST,28.0
1,Blackrock Inc.,29955779,2021-06-29,0.0678,11852603076,COST,22.0
2,State Street Corporation,16750366,2021-06-29,0.0379,6627617315,COST,12.0
3,"FMR, LLC",11285158,2021-06-29,0.0255,4465198465,COST,8.0
4,Bank of America Corporation,7131186,2021-06-29,0.0161,2821596364,COST,5.0
5,"Geode Capital Management, LLC",6953465,2021-06-29,0.015700000000000002,2751277496,COST,5.0
6,Morgan Stanley,6185105,2021-06-29,0.013999999999999999,2447260495,COST,4.0
7,Northern Trust Corporation,5904774,2021-06-29,0.0134,2336341928,COST,4.0
8,Bank Of New York Mellon Corporation,5113982,2021-06-29,0.0116,2023449257,COST,3.0
9,Capital World Investors,4885137,2021-06-29,0.0111,1932902156,COST,3.0
0,"Vanguard Group, Inc. (The)",186291657,2021-06-29,0.08259999999999999,5976236356,CSX,20.0
1,Capital World Investors,182870778,2021-06-29,0.08109999999999999,5866494558,CSX,20.0
2,Blackrock Inc.,142288778,2021-06-29,0.06309999999999999,4564623998,CSX,15.0
3,Capital Research Global Investors,141935973,2021-06-29,0.063,4553306013,CSX,15.0
4,State Street Corporation,93718213,2021-06-29,0.0416,3006480273,CSX,10.0
5,"Geode Capital Management, LLC",36552387,2021-06-29,0.016200000000000003,1172600574,CSX,4.0
6,Soroban Capital Partners LP,32233580,2021-06-29,0.0143,1034053246,CSX,3.0
7,Egerton Capital (UK) LLP,31948068,2021-06-29,0.014199999999999999,1024894021,CSX,3.0
8,Edgepoint Investment Group Inc.,30227766,2021-06-29,0.0134,969706733,CSX,3.0
9,Bank of America Corporation,25160123,2021-06-29,0.011200000000000002,807136745,CSX,2.0
0,Blackrock Inc.,47700497,2021-06-29,0.0908,3303736422,CTSH,21.0
1,"Vanguard Group, Inc. (The)",41532499,2021-06-29,0.079,2876540880,CTSH,19.0
2,Dodge & Cox Inc,29359124,2021-06-29,0.0559,2033412928,CTSH,13.0
3,State Street Corporation,22530198,2021-06-29,0.0429,1560441513,CTSH,10.0
4,Bank Of New York Mellon Corporation,19765505,2021-06-29,0.037599999999999995,1368958876,CTSH,9.0
5,Invesco Ltd.,13238308,2021-06-29,0.0252,916885212,CTSH,6.0
6,Pzena Investment Management Llc,12066171,2021-06-29,0.023,835703003,CTSH,5.0
7,"FMR, LLC",11969003,2021-06-29,0.022799999999999997,828973147,CTSH,5.0
8,"Franklin Resources, Inc.",10271462,2021-06-29,0.0195,711401458,CTSH,4.0
9,Capital Research Global Investors,9621935,2021-06-29,0.0183,666415218,CTSH,4.0
0,"Vanguard Group, Inc. (The)",16951794,2021-06-29,0.0862,4739213048,DOCU,23.0
1,Blackrock Inc.,11240134,2021-06-29,0.0571,3142404262,DOCU,15.0
2,Price (T.Rowe) Associates Inc,10978441,2021-06-29,0.0558,3069242750,DOCU,15.0
3,"Tiger Global Management, LLC",7280000,2021-06-29,0.037000000000000005,2035269600,DOCU,10.0
4,Morgan Stanley,6661767,2021-06-29,0.0339,1862430200,DOCU,9.0
5,Jennison Associates LLC,5126083,2021-06-29,0.026099999999999998,1433099024,DOCU,7.0
6,State Street Corporation,4092169,2021-06-29,0.0208,1144047687,DOCU,5.0
7,"American Century Companies, Inc.",3349227,2021-06-29,0.017,936343392,DOCU,4.0
8,"Franklin Resources, Inc.",3003466,2021-06-29,0.015300000000000001,839678989,DOCU,4.0
9,"ARK Investment Management, LLC",2806990,2021-06-29,0.0143,784750194,DOCU,3.0
0,"Vanguard Group, Inc. (The)",10255842,2021-06-29,0.106,4379244534,DXCM,22.0
1,Blackrock Inc.,7771797,2021-06-29,0.0803,3318557319,DXCM,17.0
2,Baillie Gifford and Company,5216621,2021-06-29,0.053899999999999997,2227497167,DXCM,11.0
3,"FMR, LLC",4306293,2021-06-29,0.044500000000000005,1838787111,DXCM,9.0
4,State Street Corporation,3858779,2021-06-29,0.039900000000000005,1647698633,DXCM,8.0
5,JP Morgan Chase & Company,3748505,2021-06-29,0.0387,1600611635,DXCM,8.0
6,"Sands Capital Management, LLC",3037276,2021-06-29,0.031400000000000004,1296916852,DXCM,6.0
7,Janus Henderson Group PLC,2868600,2021-06-29,0.0296,1224892200,DXCM,6.0
8,Morgan Stanley,2148868,2021-06-29,0.0222,917566636,DXCM,4.0
9,Artisan Partners Limited Partnership,1974019,2021-06-29,0.0204,842906113,DXCM,4.0
0,"Vanguard Group, Inc. (The)",24473995,2021-06-29,0.10550000000000001,2435162502,DLTR,25.0
1,Blackrock Inc.,19792385,2021-06-29,0.08529999999999999,1969342307,DLTR,20.0
2,State Street Corporation,9831797,2021-06-29,0.0424,978263801,DLTR,10.0
3,Price (T.Rowe) Associates Inc,9507609,2021-06-29,0.040999999999999995,946007095,DLTR,9.0
4,Macquarie Group Limited,7545079,2021-06-29,0.0325,750735360,DLTR,7.0
5,Lazard Asset Management LLC,6803713,2021-06-29,0.029300000000000003,676969443,DLTR,7.0
6,"Franklin Resources, Inc.",5336631,2021-06-29,0.023,530994784,DLTR,5.0
7,"FMR, LLC",5318535,2021-06-29,0.0229,529194232,DLTR,5.0
8,"Geode Capital Management, LLC",4110611,2021-06-29,0.0177,409005794,DLTR,4.0
9,"Fiduciary Management, Inc.",3812737,2021-06-29,0.016399999999999998,379367331,DLTR,3.0
0,Blackrock Inc.,23124435,2021-06-29,0.08130000000000001,3325987486,EA,20.0
1,"Vanguard Group, Inc. (The)",21869555,2021-06-29,0.0768,3145498095,EA,19.0
2,Public Investment Fund,14210000,2021-06-29,0.0499,2043824300,EA,12.0
3,State Street Corporation,14014283,2021-06-29,0.0492,2015674323,EA,12.0
4,Massachusetts Financial Services Co.,11412077,2021-06-29,0.0401,1641399034,EA,10.0
5,"AllianceBernstein, L.P.",7254723,2021-06-29,0.0255,1043446809,EA,6.0
6,Brown Advisory Inc.,5430002,2021-06-29,0.0191,780997187,EA,4.0
7,Invesco Ltd.,5174662,2021-06-29,0.0182,744271635,EA,4.0
8,"FMR, LLC",4937528,2021-06-29,0.0174,710164652,EA,4.0
9,"Geode Capital Management, LLC",4929465,2021-06-29,0.0173,709004950,EA,4.0
0,Blackrock Inc.,49638905,2021-06-29,0.0764,3485147520,EBAY,19.0
1,"Vanguard Group, Inc. (The)",49362912,2021-06-29,0.0759,3465770051,EBAY,19.0
2,"FMR, LLC",33779908,2021-06-29,0.052000000000000005,2371687340,EBAY,13.0
3,State Street Corporation,29319795,2021-06-29,0.0451,2058542806,EBAY,11.0
4,"Ameriprise Financial, Inc.",23433305,2021-06-29,0.036000000000000004,1645252344,EBAY,9.0
5,"Comprehensive Financial Management, LLC",21667608,2021-06-29,0.0333,1521282757,EBAY,8.0
6,Nordea Investment Management AB,16633549,2021-06-29,0.0256,1167841475,EBAY,6.0
7,"Baupost Group, Inc,.(The) LLC",14890623,2021-06-29,0.0229,1045470640,EBAY,5.0
8,"Geode Capital Management, LLC",10474454,2021-06-29,0.0161,735411415,EBAY,4.0
9,Lindsell Train Limited,9342871,2021-06-29,0.0144,655962972,EBAY,3.0
0,"Vanguard Group, Inc. (The)",83795147,2021-03-30,0.0862,3665199729,EXC,18.0
1,Blackrock Inc.,81724739,2021-03-30,0.08410000000000001,3574640083,EXC,17.0
2,"Wellington Management Group, LLP",72675525,2021-03-30,0.0748,3178827463,EXC,15.0
3,State Street Corporation,59630914,2021-03-30,0.061399999999999996,2608256178,EXC,13.0
4,Capital International Investors,50547042,2021-03-30,0.052000000000000005,2210927617,EXC,11.0
5,"FMR, LLC",27595043,2021-03-30,0.028399999999999998,1207007180,EXC,6.0
6,Price (T.Rowe) Associates Inc,25185213,2021-03-30,0.0259,1101601216,EXC,5.0
7,Invesco Ltd.,20323384,2021-03-30,0.0209,888944816,EXC,4.0
8,Bank Of New York Mellon Corporation,16936563,2021-03-30,0.0174,740805265,EXC,3.0
9,"Geode Capital Management, LLC",15997588,2021-03-30,0.0165,699734499,EXC,3.0
0,"Vanguard Group, Inc. (The)",66950412,2021-06-29,0.1165,3481421424,FAST,30.0
1,Blackrock Inc.,44323426,2021-06-29,0.0771,2304818152,FAST,19.0
2,Bank Of New York Mellon Corporation,29537970,2021-06-29,0.051399999999999994,1535974440,FAST,13.0
3,State Street Corporation,28455445,2021-06-29,0.0495,1479683140,FAST,12.0
4,"Geode Capital Management, LLC",11277756,2021-06-29,0.0196,586443312,FAST,5.0
5,"Principal Financial Group, Inc.",9676441,2021-06-29,0.0168,503174932,FAST,4.0
6,Bank of America Corporation,8623970,2021-06-29,0.015,448446440,FAST,3.0
7,Janus Henderson Group PLC,8097273,2021-06-29,0.0141,421058196,FAST,3.0
8,Invesco Ltd.,7922687,2021-06-29,0.0138,411979724,FAST,3.0
9,"Charles Schwab Investment Management, Inc.",7518065,2021-06-29,0.0131,390939380,FAST,3.0
0,"Vanguard Group, Inc. (The)",182466282,2021-06-29,0.0765,63445350914,FB,21.0
1,Blackrock Inc.,155424508,2021-06-29,0.0652,54042655676,FB,18.0
2,"FMR, LLC",127113861,2021-06-29,0.0533,44198760608,FB,14.0
3,Price (T.Rowe) Associates Inc,101398075,2021-06-29,0.0425,35257124658,FB,11.0
4,State Street Corporation,92196339,2021-06-29,0.0387,32057589033,FB,10.0
5,Capital International Investors,48790238,2021-06-29,0.020499999999999997,16964853654,FB,5.0
6,Capital World Investors,46113579,2021-06-29,0.019299999999999998,16034152554,FB,5.0
