,Holder,Shares,Date Reported,% Out,Value,Ticker,%Shares
0,Price (T.Rowe) Associates Inc,18154014,2021-06-29,0.1124,2624707344,SPLK,24.0
1,"Vanguard Group, Inc. (The)",14612153,2021-06-29,0.09050000000000001,2112625080,SPLK,19.0
2,Blackrock Inc.,10410430,2021-06-29,0.0644,1505139969,SPLK,14.0
3,Primecap Management Company,6867151,2021-06-29,0.0425,992852691,SPLK,9.0
4,"ClearBridge Investments, LLC",5504526,2021-06-29,0.0341,795844369,SPLK,7.0
5,State Street Corporation,4600229,2021-06-29,0.0285,665101108,SPLK,6.0
6,Pictet Asset Management Ltd,4469656,2021-06-29,0.0277,646222864,SPLK,6.0
7,"Goldman Sachs Group, Inc.",3867238,2021-06-29,0.0239,559125270,SPLK,5.0
8,Norges Bank Investment Management,3029737,2020-12-30,0.018799999999999997,514722018,SPLK,4.0
9,First Trust Advisors LP,2772724,2021-06-29,0.0172,400880435,SPLK,3.0
0,"Vanguard Group, Inc. (The)",17716534,2021-06-29,0.1073,3397145394,SWKS,28.0
1,Blackrock Inc.,15215030,2021-06-29,0.09210000000000002,2917482002,SWKS,24.0
2,State Street Corporation,7381129,2021-06-29,0.0447,1415331485,SWKS,12.0
3,Price (T.Rowe) Associates Inc,3934924,2021-06-29,0.023799999999999998,754521677,SWKS,6.0
4,"Vulcan Value Partners, LLC",3817307,2021-06-29,0.0231,731968617,SWKS,6.0
5,"FMR, LLC",3631307,2021-06-29,0.022000000000000002,696303117,SWKS,5.0
6,"Geode Capital Management, LLC",3030016,2021-06-29,0.0183,581005568,SWKS,4.0
7,Bank Of New York Mellon Corporation,2548444,2021-06-29,0.0154,488664137,SWKS,4.0
8,Northern Trust Corporation,2172405,2021-06-29,0.0132,416558658,SWKS,3.0
9,Lazard Asset Management LLC,2020685,2021-06-29,0.012199999999999999,387466348,SWKS,3.0
0,"Vanguard Group, Inc. (The)",97136962,2021-06-29,0.0824,10860883721,SBUX,28.0
1,Blackrock Inc.,75012726,2021-06-29,0.0636,8387172894,SBUX,21.0
2,State Street Corporation,46965699,2021-06-29,0.0398,5251234805,SBUX,13.0
3,Magellan Asset Management Ltd,29877559,2021-06-29,0.0253,3340609871,SBUX,8.0
4,"Geode Capital Management, LLC",19545995,2021-06-29,0.0166,2185437700,SBUX,5.0
5,Northern Trust Corporation,18132834,2021-06-29,0.0154,2027432169,SBUX,5.0
6,Bank of America Corporation,16987479,2021-06-29,0.0144,1899370026,SBUX,4.0
7,"Polen Capital Management, LLC",14802150,2021-06-29,0.0126,1655028391,SBUX,4.0
8,Royal Bank of Canada,13889563,2021-06-29,0.0118,1552992039,SBUX,4.0
9,"Loomis Sayles & Company, LP",13485141,2021-06-29,0.011399999999999999,1507773615,SBUX,3.0
0,"Vanguard Group, Inc. (The)",16935409,2021-06-29,0.111,4670616448,SNPS,25.0
1,Blackrock Inc.,12666020,2021-06-29,0.08310000000000001,3493161655,SNPS,18.0
2,Price (T.Rowe) Associates Inc,9773328,2021-06-29,0.0641,2695386129,SNPS,14.0
3,State Street Corporation,6257664,2021-06-29,0.040999999999999995,1725801154,SNPS,9.0
4,JP Morgan Chase & Company,5390769,2021-06-29,0.0353,1486720182,SNPS,8.0
5,"Franklin Resources, Inc.",3755616,2021-06-29,0.0246,1035761336,SNPS,5.0
6,Pictet Asset Management Ltd,3621800,2021-06-29,0.023700000000000002,998856222,SNPS,5.0
7,"Geode Capital Management, LLC",2905793,2021-06-29,0.0191,801388651,SNPS,4.0
8,"FMR, LLC",2744124,2021-06-29,0.018000000000000002,756801957,SNPS,4.0
9,Alkeon Capital Management LLC,2707581,2021-06-29,0.0178,746723763,SNPS,4.0
0,Norges Bank Investment Management,54303976,2020-12-30,0.0852,1831673110,TCOM,22.0
1,Morgan Stanley,45175053,2021-06-29,0.0709,1601907379,TCOM,18.0
